1 2
2 3
3 4
4 5
5 6
6 7
7 8
8 9
9 10
10 11
11 1
12 13
13 14
14 15
15 16
16 17
17 25
25 12
18 19
19 20
20 21
21 22
22 23
23 24
24 18
26 27
27 28
28 29
29 30
30 31
31 32
32 33
33 34
34 35
35 36
36 26
37 38
38 39
39 40
40 41
41 42
42 50
50 37
43 44
44 45
45 46
46 47
47 48
48 49
49 43
1 26
2 27
3 28
4 29
5 30
6 31
7 32
8 33
9 34
10 35
11 36
12 37
13 38
14 39
15 40
16 41
17 42
18 43
19 44
20 45
21 46
22 47
23 48
24 49
25 50
-1
Lines data for 3D block uppercase B.
Example for COMP 4560, Assignment 5 (200830)
Indicates which points must be joined by lines to form
     the character.
Goes with accompanying points.dat file.

